T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
9.1,15.3,4.0,1015.6,90,0.5,0.0,o,284.7958333333333
7.4,9.8,4.8,1017.6,93,0.5,4.3,o,219.72083333333333
7.8,12.7,4.4,1018.5,87,0.6,4.4,o,182.1875
6.7,13.4,2.4,1019.4,82,0.6,4.8,o,154.03750000000002
8.6,15.5,3.3,1018.7,72,0.8,8.1,o,223.20833333333331
12.4,20.9,4.4,1017.3,61,1.3,8.7, ,200.64583333333337
16.0,25.2,10.0,1013.2,79,0.6,4.8,o,285.225
13.4,21.0,9.2,1015.1,87,0.5,1.5,o,236.825
14.3,22.6,6.6,1016.3,76,0.8,0.4,o,276.90833333333336
12.7,18.9,7.3,1021.2,76,1.8,6.1,o,108.0
11.9,18.9,6.3,1020.1,76,1.1,8.3,o,107.625
12.2,19.9,6.2,1021.0,69,2.1,4.4,o,125.89166666666668
13.4,21.1,5.6,1020.0,60,1.9,8.0, ,181.01250000000005
12.3,21.4,6.4,1019.6,70,1.9,6.7, ,152.55416666666667
13.7,22.0,7.0,1018.2,63,1.8,7.2, ,152.32083333333335
14.9,21.9,7.1,1018.3,73,0.6,2.0,o,319.7375
15.0,24.0,7.6,1017.4,81,0.6,2.2,o,332.7083333333333
16.3,24.0,12.0,1017.2,80,0.8,1.3,o,279.6
18.7,26.3,9.5,1015.3,64,1.6,1.7,o,179.11666666666667
14.6,21.6,9.4,1018.4,72,2.7,9.4, ,54.79166666666666
14.7,21.7,8.4,1017.1,71,1.8,10.9, ,93.375
14.8,22.6,8.5,1016.8,67,2.1,9.3, ,103.0
17.4,25.4,10.3,1015.8,63,1.9,6.7, ,132.20833333333334
18.1,26.7,10.2,1013.8,61,2.6,5.0, ,127.70833333333331
18.3,23.2,12.7,1011.2,75,1.9,10.0, ,109.33333333333331
16.4,22.0,11.2,1015.5,81,1.6,5.9, ,56.458333333333336
16.9,23.5,10.1,1016.8,80,1.3,5.2,o,135.83333333333334
19.3,26.9,12.1,1015.6,74,1.6,5.9,o,122.5
17.2,24.2,10.8,1018.3,74,2.6,4.6, ,69.66666666666667
